id,time,vol,ph,solids,hardness,oil,bod
IND114B,1514658602408,2891.0,5.0,15.0,62.0,4.0,2.0
IND114B,1514662201261,2944.0,5.8,10.7,59.6,0.7,5.8
IND114B,1514665803006,2869.0,6.2,10.5,54.8,0.0,10.5
IND114B,1514669396432,2874.0,6.3,12.4,53.3,4.0,11.0
IND114B,1514672996966,2971.0,6.4,14.1,48.8,7.0,11.0
IND114B,1514676604770,3038.0,6.5,13.8,49.9,5.7,6.4
IND114B,1514680195647,3120.0,6.8,14.7,49.0,3.0,11.0
IND114B,1514683804113,3136.0,7.3,10.7,52.5,3.9,11.0
IND114B,1514687398087,3203.0,7.8,13.8,55.1,7.0,11.0
IND114B,1514691004169,3131.0,8.1,18.4,54.8,2.7,11.0
IND114B,1514694604745,3166.0,8.1,20.6,59.6,6.1,11.0
IND114B,1514698201297,3222.0,7.8,21.8,61.6,1.9,6.6
IND114B,1514701799214,3264.0,7.5,26.1,65.8,3.7,9.7
IND114B,1514705405124,3183.0,7.9,24.5,64.1,1.9,11.0
IND114B,1514708996528,3146.0,8.0,26.2,65.9,3.2,6.2
IND114B,1514712600859,3242.0,7.7,28.3,63.4,0.0,5.3
IND114B,1514716196542,3198.0,7.8,30.4,59.4,0.0,1.2
IND114B,1514719798791,3155.0,7.4,34.6,59.0,0.0,0.2
IND114B,1514723397595,3185.0,7.1,33.7,55.5,0.0,3.5
IND114B,1514726999371,3142.0,7.3,38.7,58.7,0.0,6.2
IND114B,1514730604497,3042.0,7.0,38.6,63.5,0.1,2.6
IND114B,1514734200887,3036.0,6.7,34.6,61.6,0.0,4.5
IND114B,1514737801346,2964.0,7.0,33.1,62.6,0.0,3.7
IND114B,1514741401985,2960.0,6.9,33.8,58.6,0.0,2.8
IND114B,1514744996078,3051.0,7.3,30.4,55.4,0.0,2.8
IND114B,1514748605165,3115.0,7.4,34.3,50.6,0.0,1.2
IND114B,1514752196671,3160.0,7.7,38.8,49.6,3.5,2.3
IND114B,1514755799261,3245.0,8.0,34.5,54.0,0.0,2.2
IND114B,1514759397665,3186.0,8.3,39.5,58.3,2.9,5.9
IND114B,1514763001859,3242.0,8.1,43.1,61.8,6.3,1.0
IND114B,1514766598239,3188.0,8.0,44.0,65.3,3.4,1.3
IND114B,1514770195954,3285.0,8.4,45.9,68.6,4.9,1.2
IND114B,1514773798632,3374.0,8.5,48.9,70.7,3.3,5.5
IND114B,1514777401380,3297.0,8.2,46.5,68.6,0.7,3.7
IND114B,1514780999456,3304.0,7.7,48.1,73.3,2.4,5.7
IND114B,1514784597013,3240.0,7.9,47.7,74.4,3.2,7.9
IND114B,1514788199090,3289.0,7.5,43.0,71.6,7.0,3.1
IND114B,1514791804766,3388.0,7.3,41.9,70.7,7.0,6.9
IND114B,1514795399010,3342.0,7.3,39.5,69.8,7.0,11.0
IND114B,1514799002621,3332.0,7.3,39.1,68.5,7.0,10.2
IND114B,1514802605296,3429.0,7.2,43.6,68.4,5.2,6.8
IND114B,1514806203808,3342.0,7.6,42.8,69.3,7.0,3.9
IND114B,1514809802856,3403.0,7.6,38.6,70.6,7.0,3.7
IND114B,1514813399634,3343.0,7.8,42.8,71.7,7.0,1.1
IND114B,1514816996918,3273.0,8.3,47.5,74.8,7.0,5.6
IND114B,1514820601518,3191.0,8.6,44.4,75.7,7.0,1.1
IND114B,1514824201654,3259.0,8.8,41.8,71.2,3.2,3.5
IND114B,1514827801423,3210.0,8.9,38.5,75.6,5.1,0.2
IND114B,1514831395912,3226.0,8.7,38.9,80.6,3.9,0.2
IND114B,1514834997545,3206.0,8.4,41.8,84.6,0.0,0.2
IND114B,1514838596033,3252.0,7.9,39.7,87.7,0.0,0.2
IND114B,1514842204738,3293.0,7.5,34.9,83.2,1.1,3.9
IND114B,1514845796799,3357.0,7.3,34.1,78.5,0.9,5.6
IND114B,1514849402138,3310.0,7.4,37.3,78.4,5.4,7.1
IND114B,1514853001748,3315.0,7.4,36.7,77.2,2.0,4.2
IND114B,1514856601848,3258.0,7.2,32.6,79.3,4.5,0.2
IND114B,1514860198851,3296.0,7.5,30.2,74.5,7.0,0.2
IND114B,1514863802902,3223.0,7.5,32.9,75.4,7.0,0.2
IND114B,1514867404743,3160.0,7.8,37.3,71.1,7.0,3.7
IND114B,1514871000931,3162.0,7.9,32.4,75.6,7.0,7.9
IND114B,1514874597824,3231.0,7.5,32.7,73.5,6.2,4.1
IND114B,1514878201112,3133.0,7.0,36.1,69.7,4.6,1.5
IND114B,1514881798488,3155.0,6.7,32.2,66.5,2.9,3.0
IND114B,1514885397174,3229.0,6.5,33.3,69.1,0.8,1.1
IND114B,1514889002706,3166.0,6.7,33.6,71.8,0.0,2.0
IND114B,1514892604059,3205.0,7.1,29.8,74.9,0.0,5.8
IND114B,1514896200292,3158.0,7.2,28.0,75.0,0.0,9.5
IND114B,1514899803637,3254.0,7.7,28.5,79.3,0.0,6.1
IND114B,1514903396587,3279.0,7.3,32.3,75.3,3.9,3.1
IND114B,1514906999663,3290.0,7.4,27.3,72.5,4.9,6.0
IND114B,1514910604747,3344.0,7.1,23.3,69.9,0.6,7.5
IND114B,1514914198008,3340.0,7.0,27.3,73.8,0.0,9.9
IND114B,1514917800681,3420.0,6.9,28.9,70.0,2.5,11.0
IND114B,1514921404065,3329.0,6.8,26.4,66.3,2.1,11.0
