id,time,vol,ph,solids,hardness,oil,bod
IND49B,1514658605031,3667.0,6.0,43.0,47.0,9.0,2.0
IND49B,1514662197568,3744.0,6.2,38.7,47.7,9.6,0.2
IND49B,1514665795543,3782.0,5.9,37.9,51.9,12.0,0.2
IND49B,1514669399701,3879.0,6.1,36.5,50.0,8.8,3.9
IND49B,1514672999500,3956.0,6.1,39.1,47.4,10.6,0.8
IND49B,1514676603497,4023.0,6.4,42.1,46.2,6.3,0.2
IND49B,1514680200541,3997.0,6.4,42.6,44.9,5.7,0.2
IND49B,1514683798477,4022.0,6.9,43.7,40.8,4.2,0.2
IND49B,1514687399019,3954.0,7.3,41.2,42.6,6.8,4.4
IND49B,1514690998137,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514694600003,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514698203070,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514701805208,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514705395946,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514708995647,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514712601332,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514716197253,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514719802103,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514723403757,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514727003498,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514730602661,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514734195452,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514737803719,3774.0,5.8,29.2,34.5,9.0,4.9
IND49B,1514741404382,3765.0,5.8,30.8,33.7,8.3,0.2
IND49B,1514745003164,3710.0,5.8,31.3,32.2,4.0,2.5
IND49B,1514748595466,3810.0,5.8,34.3,31.7,8.4,0.2
IND49B,1514752198108,3817.0,5.8,31.0,31.8,9.5,0.6
IND49B,1514755798497,3885.0,6.0,32.0,29.7,10.9,0.2
IND49B,1514759395602,3828.0,6.1,35.3,25.2,12.0,0.2
IND49B,1514762995858,3852.0,5.8,34.9,28.1,12.0,0.2
IND49B,1514766600331,3786.0,5.8,33.9,23.3,9.6,2.9
IND49B,1514770199989,3770.0,6.1,29.5,22.1,7.6,3.1
IND49B,1514773803742,3817.0,5.8,25.0,17.9,8.9,4.4
IND49B,1514777402694,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514780999254,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514784602014,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514788197276,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514791798477,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514795398721,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514799001667,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514802605145,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514806200398,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514809804098,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514813397885,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514816998579,0.0,0.0,0.0,0.0,0.0,0.0
IND49B,1514820597905,0.0,0.0,0.0,0.0,0.0,0.0
